客家汉字,Hakka Pronunciation,Chinese definition,English Definition
打屁安狗心,da3 pi4 on1 geu3 sim1,狗是吃屎的，放屁給牠聽讓牠安心以為很快有食物。比喻說空話。,"Lit. 'a fart to reassure the dog' (dogs eat dung, so a fart gives false hope of food). Means to pacify with empty promises; to make hollow assurances."
打屁撞着凵,da3 pi4 cong4 cok6 kem3,放屁碰上咳嗽，比喻巧合。,Lit. 'farting and hitting a cough'. A coincidence; two unrelated things happening to align.
打蛇打七寸,da3 sa2 da3 cit5 cun4,打蛇要打中頭以下七寸的要害，比喻做事要有效率。,"When striking a snake, hit seven inches below the head (the vital point). Do things efficiently; strike at the key weakness."
打死狗講價,da3 si3 geu3 gong3 ga4,先把狗打死了才講價錢，當然是賣狗的吃虧了。,Lit. 'haggling after the dog is already dead'. The seller is always at a disadvantage when the buyer kills first and negotiates later.
帶狗都難尋,dai4 geu3 du1 lan2 cim2,比喻很難找到。,Even with a dog (to sniff it out) it would be hard to find. Describes something or someone extremely hard to find.
花被冚雞籠,fa1 pi1 kem3 gai1 lung1,花被蓋着雞籠。比喻金玉其外，敗絮其中。,A beautiful quilt covering a chicken cage. Describes something that looks impressive on the outside but is worthless inside; gilded cage.
湖蜞聽水響,fu2 ki2 tang4 sui3 hiong3,湖蜞是螞蟥，對水的聲音特別敏感，會馬上游過去。比喻馬上有反應。,A leech hears the sound of water and rushes toward it immediately. Describes someone who reacts immediately to a stimulus; very responsive.
雞嫲帶雞仔,gai1 ma2 dai4 gai1 zai3,母雞帶着小雞，比喻寫字不整齊，大小不一。,"A mother hen looking after her chicks. Describes a mother caring for her children, or someone escorting a group of dependants. Also: messy handwriting with characters of different sizes."
趕狗唔出門,gon3 geu3 m cut5 mun2,形容天氣太冷。,Too cold to drive even a dog outside; describes extremely cold weather.
江湖冇六月,gong1 fu2 mau2 luk5 ngiet6,出門天氣難料，要預備好禦寒衣物。,Out on the road there is no June. Weather outdoors is unpredictable; always bring warm clothing when you travel.
好心着雷劈,hau3 sim1 cok6 lui2 piak5,好心沒好報。,Good intentions struck by lightning; no good deed goes unpunished.
猴哥打㪐索,heu2 go1 da3 lot5 sok5,沒有繩子的猴子，表示很自由，沒人管。,"A monkey with no rope = completely free, with no one to control it. Describes a person with total freedom and no restraints."
窮過呂蒙正,kiung2 go4 li1 mung2 zin4,口頭禪，表示很窮。傳說呂蒙正小時候很窮。,Poorer than Lü Mengzheng (a Tang-era scholar who was extremely poor before becoming a prime minister). A common saying for extreme poverty.
老鼠記穀種,lau4 cu3 gi4 guk5 zung3,比喻小孩記掛住零食。,A mouse obsessing over grain seeds. Describes a child fixated on snacks.
唔得佢葛煞,m det5 gi2 gat5 sat5,沒他辦法。,There is no way to deal with him; can't do anything about him.
痳瘋纏爛腳,ma2 fung1 cien2 lan4 giok5,嘲笑人捆綁東西時胡亂捆綁，很快就鬆散。,Leprosy wrapping up a lame leg. Mocking someone who ties things messily so that it falls apart instantly.
冇屎楞出腸,mau2 si3 lang4 cut5 cong2,肚子沒有大便把腸子都拉出來，比喻不自量力。,No dung but straining so hard the intestines come out. Overreaching; trying to do what is beyond one's capacity.
冇菜食飽飯,mau2 coi4 sit6 bau3 fan4,客套話，沒菜就多添飯。,"No dishes, so eat plenty of rice. A polite host's saying; also: make do with what you have."
