客家汉字,Hakka Pronunciation,Chinese definition,English Definition
阿聾打屁——冇聲冇氣,a1 lung1 da3 pi4 – mau2 sang1 mau2 hi4,聾子放屁自己聽不到聲音。“冇聲冇氣”也指沒有消息、音訊，語帶雙關。,"A deaf person farts – no sound, no air. Describes total silence or no news whatsoever. 冇聲冇氣 is a pun meaning both 'no sound from a fart' and 'no word, no news'."
伯公打屁——神氣,bak5 gung1 da3 pi4 – sin2 hi4,伯公是客家人的土地神，通常安放在大榕樹下。放的屁當然是“神氣”了。,The earth god 伯公 farts – divine gas / divine airs. 神氣 puns on 'gas from a deity' and 'arrogant/cocky'. Describes someone acting high and mighty.
自己扛湯——自己啜,cu4 gi3 gong1 tong1 – cu4 gi3 sot5,sŏt （啜）是吸吮進嘴巴的意思。但也跟讚美的“說”同音。笑人自己讚美自己。,Carrying your own soup – you drink it yourself. 啜 (slurp/drink) sounds like 說 (praise). Mocking someone who praises their own work.
火燒竹筒——直爆,fo3 sau1 zuk5 tung2 – cit6 bau4,“爆”與報同音。直報是直接把事情說去，不作隱瞞。,Bamboo burning in fire – it bursts straight open. 爆 (burst) sounds like 報 (report). Means to report or confess directly without hiding anything.
狗徑索——食唔切,geu3 gang4 sok5 – sit6 m ciet5,用來比喻太多宴會或者食物吃不完的意思。請看“狗徑索”典故。,The dog trail rope – can't eat fast enough. Metaphor for having so many banquets or so much food that you can't keep up. See the legend of 狗徑索.
雞屙尿——冇見過,gai1 o1 ngiau4 –mau2 gien4 go4,雞是鳥類，不會排洩液體的尿。所以雞排洩尿液是“沒見過”的意思。,A chicken urinating – never seen before! (Birds don't urinate as liquid.) Means something unbelievable or unprecedented.
狗吠雷公——唔知天性,geu3 poi4 lui2 gung1 – m di1 tien1 sin4,狗不知道雷公是屬於天上的神，於是冒犯亂吠，比喻因為無知而冒犯人。但“唔知天性”也指（尤其是小孩）不懂事。,A dog barking at the thunder god – doesn't know its place. The dog doesn't know the thunder god belongs to heaven. Means being ignorant and recklessly offending others. Also: (especially of children) not knowing any better.
狗食糯米——冇得變,geu3 sit6 lo4 mi3 –mau2 det5 bien4,狗不能消化糯米，所以照原來的樣子排洩出來。比喻食古不化。,"A dog eating glutinous rice – no change possible (dogs can't digest it, so it passes through unchanged). Means inflexible and set in one's ways; unable to change."
肋坼下毛——冇剃過（冇太過）,lak6 cak5 ha1 mau1–mau2 tai4 go4,肋坼下，腋下。以前人一般不剃腋下的毛。“剃”在客家話跟“太”同音，“冇太過”指很普通，沒什麼了不起。,"Armpit hair – never been shaved. In the past, people didn't shave their armpits. 剃 (shave) sounds like 太 (too/very). 冇太過 = nothing special; perfectly ordinary."
老鼠跌落糠籮頭——一時歡喜一時愁,lau4 cu3 diet5 lok6 hong1 lo2 teu2 – yit5 si2 fon1 hi3 yit5 si2 seu2,老鼠以為糠籮裝的是稻穀，掉進去的時候非常開心。但發現裏面的全是鬆散而不好吃的米糠以後，發現很難脫身，就開始發愁了。,"A mouse falls into a basket of rice bran. First it is overjoyed (thinking it's grain), then it is dismayed (realising it's just bran and it can't escape). Sudden joy followed by sudden disappointment."
痳瘋擎遮——做好人,ma2 fung1 kia2 za1 – zo4 hau3 ngin2,痳瘋病人用傘遮住自己，讓人不知道他發病。比喻一些人犯了錯又“裝好人”。,A leprosy patient holds up an umbrella to hide their condition – pretending to be a good person. Covers up wrongdoing while acting virtuous.
冇芽芋種——凈愛來食,mau2 nga2 vu4 zung3 – ciang4 oi4 loi2 sit6,芋頭當然沒有芽不能做種，只能要來做菜。但“凈愛來食”有歧義，可以罵人只會吃不幹活。,"Taro with no sprouts can't be used as seed, only as food. Can only eat, not contribute. Also used to mock someone as greedy and lazy."
貓扡糍粑——唔得㪐爪,miau4 ya3 ci2 ba1 – m det5 lot5 zau3,糍粑是用糯米製造的節日食品，客家常見。貓抓到糍粑當然很難脫身。但“唔得脫爪”有引申義，就是惹了麻煩、官非等很難脫身。,"A cat clutching a sticky rice cake – it can't let go of its claws. Getting entangled in trouble (lawsuits, problems) that you can't escape."
五腳凳——斣多,ng3 giok5 den4 – deu4 do1,客家話“裝”叫做“斣”。凳子四隻腳就夠，五隻當然是多裝了。但“斣多”又指隨便、不經意。,A five-legged stool – one leg too many. Over-equipped; overdoing things. 斣多 also means casual or unintentional.
石灰敥路——白行,sak6 foi1 yam4 lu4 – pak6 hang2,“敥”是撒放的意思。“白行”是白走一趟的意思。,Spreading lime on the road – walked in vain. Making a wasted trip; getting nothing for your effort.
山豬打交——使嘴,san1 zu1 da3 gau1 – su3 zui3,字面是“使用嘴巴”，但也指使喚別人幹活的意思。請看“山豬打交”典故。,Wild boars fighting – using their snouts. Lit. 'use the mouth'; also means bossing others around without doing anything yourself.
食豬嫲肉——使暗力,sit6 zu1 ma2 ngiuk5 – su3 am4 lit6,字面是吃母豬肉。因為母豬一般都養了好幾年，肉特別韌，所以要出暗力。,Eating old sow meat – you need hidden force. Old sow meat is very tough; it takes great effort behind the scenes.
田唇䃗——唔係路,tien2 sun2 bok5 – m he4 lu4,田唇䃗是田壟，非常狹小，不是用來當道路用的，所以“唔係路”。但“唔係路”也有不像話、不對頭的意思。,A field ridge – not a proper road. Lit. meaning: it's not a road. Fig. meaning: something is inappropriate or not right; this isn't the way.
一隻雞閹嗨三隻核——冇心冇性,yit5 zak5 gai1 yam1 hoi1 sam1 zak5 hak6 – mau2 sim1 mau2 siang4,核(hàk)是睪丸，一隻公雞只有兩顆。一隻雞閹了三個睪丸，就是心臟也給掏走了，所以就沒有心情（冇心性）了。,"A chicken castrated of three testicles (including its heart) – no heart and no spirit. Describes someone who is listless, unmotivated, and apathetic."
灶下雞——出到門背唔曉啼,zau4 ha1 gai1 – cut5 dau4 mun2 boi4 m hiau3 tai2,養在廚房的雞沒有到過外面，到外面就連開腔都不行了。比喻沒有膽量到外面去闖的人。 【21】歇後語 二維碼21,A kitchen chicken – can't crow once it's outside the door. Describes a timid person who can't function in the outside world. (Variant of earlier entry.)
哎條魚走，哎條魚大,"ai4 tiau2 ng zeu3, ai4 tiau4 ng tai4",抓不住的機會往往值得懷念。,The fish you can't catch is always the biggest. What you can't have always seems more attractive.
畚箕笠，畚箕摜,"bun4 gi1 lap5, bun4 gi1 kan4",罵女孩的話，該死的意思。因為以前有人殺死女嬰後用畚箕裝着去丟棄。,"Dustpan hat, dustpan wrapper. A death curse for girls (畚箕 was historically used to dispose of female infants); now generally a curse."
春寒雨起，夏寒絕雨,"cun1 hon2 yi3 hi3, ha4 hon2 ciet6 yi3",春天變寒冷會下雨，夏天變涼就沒雨。,Cold in spring brings rain; cold in summer stops rain. A weather proverb.
打唔死，煠唔爛,"da3 m si3, sap6 m lan4",比喻人性格非常頑固。,"Can't be beaten to death; can't be boiled to mush. Describes an extremely stubborn, indestructible personality."
打屁唔承，惹㜆佮人,"da3 pi4 m sin2, ngia1 mi1 gap5 ngin2",不承認放屁的人，母親是偷漢的。用來逼人承認自己放屁。,Denying a fart means your mother slept around. A rhyme used to force someone to admit to farting.
當時燒香，當時保佑,"dong1 si2 sau1 hiong1, dong1 si2 bau3 yiu4",比喻效果短暫。,"Burn incense now, get blessed now. The effects are temporary and short-lived."
隔夜茶，毒過蛇,"gak5 ya4 ca2, tuk6 go4 sa2",放過夜的茶對身體有害（最近也受到科學證實）。,Overnight tea is more poisonous than a snake. Folk wisdom: stale overnight tea is unhealthy (now somewhat supported by science).
好做唔做，年三十晚賣灶疏,"hau3 zo4 m zo4, ngien2 sam1 sip5 man1 mai4 zau4 so4",民間信仰認為灶君農曆十二月二十四日升天，年初四才回來。灶疏是燒給灶君的，但年三十晚灶君不在，就沒人買了。比喻做多餘的事情。,Not doing the right thing at the right time – like selling offerings for the Kitchen God on New Year's Eve when he's already gone to heaven. Doing something pointless at the wrong time.
學勤三年，學懶三朝,"hok6 kiun2 sam1 ngien2, hok6 lan1 sam1 zau1",要懶惰容易，學勤勞很難。,Three years to learn diligence; three mornings to learn laziness. Bad habits come easily; good ones take years.
看貓嫲，捉貓仔,"kon4 miau4 ma2, zuk5 miau4 zai3",孩子都是像父母的。,"Look at the mother cat; that's how you predict the kittens. Like mother, like child."
空手捉鳥，唔死都翹,"kong1 siu3 zuk5 diau1, m si3 du1 kiau1",空手捉鳥，鳥給人捉到會拼命掙扎，到最後很多時候是死掉的。,"Catching a bird with bare hands – even if it doesn't die, it'll be mortally wounded. Reckless actions lead to dire consequences."
來也不除，唔來也不請,"loi2 ya1 but5 cu2, m loi2 ya1 but5 ciang3",來不來聽隨尊便。,"If you come, don't stand on ceremony; if you don't come, you won't be invited. A relaxed, open-door attitude."
冇戴笠，冇戴帽,"mau2 dai4 lip5, mau2 dai4 mau4",頭上沒有戴任何東西來遮雨或者太陽。,"No bamboo hat, no cap. Nothing on the head for sun or rain; completely unprotected."
冇惹公，尋惹公,"mau2 ngia1 gung1, cim2 ngia1 gung1",你爺爺已經不在了，你卻偏去找。。意思是無理取鬧。,"Your grandfather is already gone, yet you go looking for him. Making trouble for no reason; stirring up unnecessary conflicts."
眼唔見，肚唔問,"ngan3 m gien4, du3 m mun4",很多食物的製作過程都很髒，眼不見為乾淨。,"What the eye doesn't see, the stomach doesn't question. Ignorance is bliss; food is made in dirty ways, so it's better not to watch."
年三夜四，賊佬打屁,"ngien2 sam2 ya4 si4, cet6 lau3 da3 pi4",年關將至，盜賊猖獗，可能就在你身邊，連他們放屁都聽得見。,"Around the New Year, thieves are everywhere – close enough that you can hear them fart. Describes the season when thieves are rampant."
入年架，講好話,"ngip6 ngien2 ga4, gong3 hau3 va4",年架是臘月廿四到正月十五期間，洋溢着過年的氣氛，要說吉祥的話。,"During the New Year period (腊月廿四 to 正月十五), only say auspicious words. A seasonal reminder to be positive."
牛嫲打交，牛仔食草,"ngiu2 ma2 da3 gau1, ngiu2 zai3 sit6 cau3",上一代的恩怨不會影響下一代。,"While the cows fight, the calves eat grass. The next generation is not affected by the feuds of the previous one."
白蟻齧，白蟻蛀,"pak6 li1 ngat5, pak6 li1 zu4",罵老人的話，說他們快鑽進棺材給白蟻咬。,"Gnawed by termites, bored by termites. A curse telling old people to hurry up and die."
石禾庭，鐵跒把,"sak6 vo2 tang2, tiet5 kia4 ba3",（比喻夫妻）倆的命硬鬥硬。,"Stone threshing floor, iron door handle. Describes a couple whose stubbornness clashes against each other."
山光石㪐，人老病出,"san1 gong1 sak6 lut5, ngin2 lau3 piang4 cut5",人老就會體弱多病。,"As mountains bare their rocks, aging brings illness. Old age inevitably brings health problems."
小暑大暑，有食懶煮,"siau3 cu3 tai4 cu3, yiu1 sit6 lan1 zu3",小暑大暑都在陽曆七月，是一年之中最熱的時候，沒有食慾。,"During Minor Heat and Major Heat (July), it's so hot you're too lazy to cook even when there's food. The hottest season."
小雪大雪，煮飯唔切,"siau3 siet5 tai4 siet5, zu3 fan4 m ciet5",小雪大雪都在陽曆十二月，是一年之中日照最短的。過去沒有時鐘，看日出日落來煮飯，之間相隔時間很短。,"During Minor Snow and Major Snow (December), there's barely time to cook rice. The shortest days of the year."
食茶甜，食飯香,"sit6 ca2 tiam2, sit6 fan4 hiong1",希望小孩不生病，順利長大。,May your tea be sweet and your rice fragrant. A blessing wishing a child good health and happiness.
食唔完，使唔盡,"sit6 m yen2, su3 m cin4",錢多得怎樣也花不完，不愁吃不愁穿。,Eating without running out; spending without running dry. A wish for endless abundance.
手摎腳等，腳摎泥打等,"siu3 lau1 giok5 den1, giok5 lau1 lai2 da3 den1",手腳不靈活。泥打是以前的一種建築工具，形狀像腳。,Hand waits for foot; foot waits for a wooden mallet. Clumsy and uncoordinated; slow and awkward.
手盤係肉，手背也係肉,"siu3 pan2 he4 ngiuk5, siu3 boi4 ya1 he4 ngiuk5",手心手背都是肉。比喻兩邊都偏袒不來。,The palm is flesh; the back of the hand is also flesh. Unable to choose between two equally loved ones; having to be fair to all.
貪條草食，跌死條牛,"tam1 tiau2 cau3 sit6, diet5 si3 tiau2 ngiu2",因小失大。,"Greedily reaching for one blade of grass, the ox falls to its death. Losing something big for something small; penny wise, pound foolish."
豆腐係水，閻王係鬼,"teu4 fu4 he4 sui3, yam2 vong2 he4 gui3",凡事均不會離開它們的本質。,Tofu is water; the King of Hell is a ghost. Things cannot escape their fundamental nature.
頭紅花赤，有一隻食一隻,"teu2 fung2 fa1 cak5, yiu1 yit5 zak5 sit6 yit5 zak5",罵人不懂得計劃將來，又作“老鼠不留隔夜糧”。,Bright red all over – eat whatever comes along. Mocking people who spend everything they earn without saving for the future.
